Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,937.8373157811336,966.2715436416801,980.6914799634374,1011.1641781297687,1041.1238939560644,1093.0890858785704,1116.2221593288002
0.300,975.6594369408665,1011.2201973532701,1032.0651114001564,1065.1445478303592,1098.527359737288,1163.0557219692882,1191.6270808107017
0.400,1013.3519681973306,1064.8878085299496,1086.632253219457,1127.103633895449,1163.0969381564892,1221.7003167171647,1253.9405745593194
0.500,1065.2482299434105,1124.9192083193243,1150.3174211654248,1187.209099178079,1226.3792406281627,1285.7274989480588,1314.7294820913235
0.600,1123.0198441298378,1184.072796915955,1208.1335194333096,1250.8015300329998,1298.0575624327794,1358.4763154778211,1396.3067173157378
0.700,1201.6456940323221,1264.0886042153463,1289.925310261109,1339.2263485253677,1384.1243817029676,1451.6003249858882,1489.0820146901922
0.800,1310.451134390525,1370.7173026936243,1400.5355570467068,1445.0927960735119,1494.1344888566314,1564.0294452393111,1593.084275091422
0.900,1447.767715793896,1528.6076332784871,1556.2043043848132,1606.0943558944393,1656.2494243643173,1721.2177495916876,1753.809443023978
0.950,1584.4614570715812,1657.1675323294735,1680.788895696729,1724.6218172283707,1759.0662713622355,1805.8977013320984,1834.8182358057054
0.990,1736.1288325492947,1784.72829556375,1799.2005713375306,1833.178251857693,1851.0345908226998,1866.9701161837925,1873.8328231764347
1.000,1832.4184133628705,1842.7291849676462,1846.6138804990044,1853.8376500210757,1861.365385298172,1871.8228475940941,1877.1102571798988
